id,os,os_physical,os_count,group,group_physical,group_count,desc,date,class,un,un_physical,un_count,field_number,field_location,field_location_physical,field_location_count,depth,suit,shipment,company,company_physical,company_count,resource,resource_physical,resource_count,vessel,vessel_physical,vessel_count,relatbar,n1710,files_count,files_size,files_missing_count,files_missing_size,files_oldest,files_newest,inventory_first,inventory_newest,files_missing_lastseen,bucket,bucket_physical,bucket_count,base,folder,path
107957,6000718397,5981,1,MER,10,7445,Inspecao interm casco - CVI - junta junta VIPB2 X PC1 / P-40,2024-04-18,Inspeção interm casco - CVI - junta,UN-BC - SEDE  Bacia,56,20428,684,P-40,185,818,1070,Ciclo intermediario - 2025,P-40 / 2024,Oceânica,2,5281,SINS,28,1720,Oceanica Sub Vi,73,774,BVIMLS25-121,,13,9391407354.0,0,0.0,2025-09-16,2025-09-16,2025-09-17,2025-09-17,,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS6000718397-SUBVIMLS25-121,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-oceanica/sins-oceanica-sub-vi/2025/QUINZENA15-10-09-AO-23-09/OS6000718397-SUBVIMLS25-121/
69320,6000682147,30063,1,DOF,5,4684,Insp. dif. - escape de gas 8-MLS-77H-RJS 8-MLS-77H-RJS P-40,2023-05-26,Insp. dif. - escape de gás,UN-BC - SEDE  Bacia,56,20428,684,8-MLS-77H-RJS,444,11,909,Icpi DOF equipamentos,P-40 / 2023,DOF,5,8910,RSV,27,25342,Skandi Carla,77,2213,SKCMLS23-465,,32,11967597339.0,0,0.0,2023-08-10,2023-08-10,2023-08-13,2023-08-13,,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS006000682147-SKCMLS23-465,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-dof/rsv-skandi-carla/2023/QUINZENA58-27-07-AO-09-08/OS006000682147-SKCMLS23-465/
93785,6000735448,16853,1,ESC,33,3944,Inspecao PIDF-8 do trecho emerso (ESC) PO_9-BBG-1D-RJS/P-68 / RTI 61363 / P-68,2024-09-10,Inspeção PIDF-8 do trecho emerso (ESC),UN-BS -  EDISA II Sa,58,9299,0,P-68,225,525,2280,Rti dutos P-68,P-68 / 2024,ply,52,1778,FRENTE-ESCALADA,39,3859,Fesc,88,3859,,,1,2223716.0,0,0.0,2024-10-30,2024-10-30,2024-10-31,2024-10-31,,manutencao-inspecao-submarina,26,29290,frente-escalada-fesc,2024-10-21-OS006000735448-P-68-PIDF-8-PRODUCAO-DE-OLEO-P-68,manutencao-inspecao-submarina/frente-escalada-fesc/empresa-ply/2024/MEDICAO-11/2024-10-21-OS006000735448-P-68-PIDF-8-PRODUCAO-DE-OLEO-P-68/
94775,6000708239,16107,1,ANC,4,4367,Inspecao de linhas de ancoragem - trecho raso linha #5 / P-70,2024-01-12,Inspeção de linhas de ancoragem - trecho raso,UN-BS -  EDISA II Sa,58,9299,1104,P-70,277,512,2300,Inspecoes de linha de ancoragem P-70,P-70 / 2024,OceanPact,32,2862,RSV,27,25342,Austral Abrolhos,110,1272,AAATP24-267,,10,83950370.0,1,28967081.0,2024-11-24,2024-11-26,2024-11-25,2024-11-27,2024-11-26,sistemas-ancoragem,16,4859,recursos-embarcacoes,OS006000708239,sistemas-ancoragem/recursos-embarcacoes/empresa-oceanpact/rsv-austral-abrolhos/2024/P-70/INSPECAO-DE-LINHA-ANCORAGEM_ESCOPO-RASO_LINHA#05/OS006000708239/
103758,6000743190,8673,4,CRD,12,2914,Conexao submarina - tramo X tramo fchdl FL 16116NOV610 X FL 16116NOV612 MSP-M1-04 FPSO anita garibaldi,2024-10-30,Conexão submarina - tramo X tramo,UN-BC - SEDE  Bacia,56,20428,682,MSP-M1-04,683,45,730,Po MSP-M1-04 FPSO anita garibaldi,MSP-M1-04 FPSO anita garibaldi,Oceaneering,3,1695,RSV,27,25342,CBO Isabella,72,704,CIMRL25-063,,256,176435591263.0,32,12938993382.0,2025-06-13,2025-07-12,2025-06-14,2025-07-13,2025-07-13,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS006000743190-CIMRL25-063,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-oceaneering/rsv-cbo-isabella/2025/QUINZENA13-11-06-AO-24-06/OS006000743190-CIMRL25-063/
98109,6000725630,13607,8,MER,10,7445,Insp final CASCO- GVI - descarga overboards POPA/BE / P-47,2024-06-20,Insp final CASCO- GVI - descarga,UN-BC - SEDE  Bacia,56,20428,991,P-47,186,283,197,P-47 / 2024,P-47 / 2024,EMI-brasil,15,276,FRENTE-UNIDADE-ESTACIONARIA-PRODUCAO,42,1647,FUEP,89,1647,,,6,196664069.0,0,0.0,2025-02-10,2025-02-13,2025-02-12,2025-02-14,,manutencao-inspecao-submarina,26,29290,frente-unidade-estacionaria-producao-fuep,2025-02-03-OS6000725630-RL-GVI-DESCARGA-OVERBOARD05-POPA-BE-P47-007,manutencao-inspecao-submarina/frente-unidade-estacionaria-producao-fuep/empresa-EMI-brasil/2025/MEDICAO-02/2025-02-03-OS6000725630-RL-GVI-DESCARGA-OVERBOARD05-POPA-BE-P47-007/
103232,6000707192,9718,1,ESC,33,3944,Inspecao PIDR-8 do trecho emerso (ESC) [PIDR-8] PO_7-AB-95H-RJS / P-25,2024-01-08,Inspeção PIDR-8 do trecho emerso (ESC),UN-ES - SEDE  Espíri,57,10101,17,P-25,278,932,570,P-25 - RTI dutos (IARI),P-25/2024,ry,14,2038,FRENTE-ESCALADA,39,3859,Fesc,88,3859,,,3,9528769.0,0,0.0,2025-05-29,2025-06-02,2025-05-30,2025-06-03,,manutencao-inspecao-submarina,26,29290,frente-escalada-fesc,2025-05-29-OS006000707192-RL-006000707192-RY-P25-S14C-2025,manutencao-inspecao-submarina/frente-escalada-fesc/empresa-ry/2025/MEDICAO-06/2025-05-29-OS006000707192-RL-006000707192-RY-P25-S14C-2025/
90361,6000723746,19420,1,ANC,4,4367,Inspecao de linhas de ancoragem - trecho profundo linha #17 / P-48,2024-06-03,Inspeção de linhas de ancoragem - trecho profundo,UN-BC - SEDE  Bacia,56,20428,247,P-48,325,825,1040,P-48 vencimento FEV 2025,P-48 / 2024,OceanPact,32,2862,RSV,27,25342,Austral Abrolhos,110,1272,AACRT24-206,,36,5848539672.0,0,0.0,2024-08-07,2024-08-08,2024-08-11,2024-08-11,,sistemas-ancoragem,16,4859,recursos-embarcacoes,OS006000723746,sistemas-ancoragem/recursos-embarcacoes/empresa-oceanpact/rsv-austral-abrolhos/2024/P-48/INSPECAO-DE-LINHA-ANCORAGEM_ESCOPO-PROFUNDO_LINHA#17/OS006000723746/
81669,6000701764,24922,1,ANC,4,4367,Ancoragem provisoria - abandono de cacho de amarra gas 20T TF0633002B GL 3-MLS-2-RJS P-40,2023-11-24,Ancoragem provisória - abandono de cacho de amarra,UN-BC - SEDE  Bacia,56,20428,684,3-MLS-2-RJS,763,26,1232,Desmob GL 3-MLS-2-RJS P-40,3-MLS-2-RJS P-40,C-Innovation,0,8714,AHTS,9,3727,Bram Titan,68,228,BTMLS24-008,,113,238289448731.0,0,0.0,2024-01-29,2024-01-30,2024-02-04,2024-02-04,,sistemas-ancoragem,16,4859,recursos-embarcacoes,OS006000701764,sistemas-ancoragem/recursos-embarcacoes/empresa-c-innovation/embarcacao-ahts-bram-titan/OPERAÇÕES/2024-P-40-ANCORAGEM-PROVISORIA_3-MLS-2-RJS_GL/OS006000701764/
77397,6000671145,27171,1,MER,10,7445,Inspecao interm casco - limpeza - caixa MAR C/ROV [SC01 (LIFT PUMP)- ER/BB] / P-54,2023-02-23,Inspeção interm casco - limpeza - caixa MAR C/ROV,UN-ES - SEDE  Espíri,57,10101,881,P-54,194,703,1400,Naval ICPI_CE,P-54/2023,C-Innovation,0,8714,RSV,27,25342,Bram Bravo,95,851,BBRO23-248,,10,16237067262.0,0,0.0,2023-11-13,2023-12-04,2023-11-19,2023-12-10,,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS006000671145-BBRO23-248,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-c-innovation/rsv-bram-bravo/2023/QUINZENA45-31-10-AO-14-11/OS006000671145-BBRO23-248/
